nu1 nu2 nu3a nu3b nu4a nu4b J Ka Kc a/s E uncertainty transitions
0 0 0 0 0 0 12 3 9 a 938.694047724 1.380e-03 17
0 0 0 0 0 0 12 4 9 s 939.769848296 1.399e-03 15
0 0 0 0 0 0 11 7 5 s 939.971196915 7.306e-04 15
0 0 0 0 0 0 12 4 9 a 940.049178437 7.872e-04 17
0 1 0 0 0 0 3 0 3 s 940.056301340 2.862e-04 7
0 0 0 0 0 0 11 7 4 s 940.082065536 7.269e-04 15
0 0 0 0 0 0 11 7 5 a 940.202200737 1.305e-03 9
0 0 0 0 0 0 11 7 4 a 940.312556257 1.285e-03 10
0 0 0 0 0 0 10 9 1 s 941.071518624 6.639e-04 6
0 0 0 0 0 0 10 9 2 s 941.071602725 6.800e-04 4
0 1 0 0 0 0 3 1 3 s 941.133538564 2.003e-04 8
0 0 0 0 0 0 10 9 1 a 941.279784035 1.183e-03 2
0 0 0 0 0 0 10 9 2 a 941.279942057 1.201e-03 6
0 1 0 0 0 0 2 2 1 a 946.358016307 2.002e-04 11
0 1 0 0 0 0 2 2 0 a 946.863612396 2.001e-04 9
0 1 0 0 0 0 3 1 2 s 951.691880545 2.002e-04 9
0 1 0 0 0 0 3 2 2 s 959.282246177 3.119e-04 7
0 1 0 0 0 0 3 0 3 a 960.357536742 2.002e-04 9
0 0 0 0 0 0 13 1 12 s 960.540273886 8.471e-04 11
0 0 0 0 0 0 13 2 12 s 960.540706094 1.508e-03 7
0 0 0 0 0 0 13 1 12 a 960.944728943 1.498e-03 8
0 0 0 0 0 0 13 2 12 a 960.946256748 8.827e-04 7
0 1 0 0 0 0 3 1 3 a 961.804846344 3.391e-04 7
0 1 0 0 0 0 3 2 1 s 962.078395060 2.302e-04 10
0 1 0 0 0 0 3 1 2 a 971.611262069 2.250e-04 8
0 0 0 0 0 0 12 4 8 s 975.070702512 1.380e-03 15
0 0 0 0 0 0 12 4 8 a 975.296651730 7.801e-04 14
0 1 0 0 0 0 3 2 2 a 978.967596357 2.003e-04 10
0 1 0 0 0 0 4 0 4 s 980.328773062 3.675e-04 5
0 1 0 0 0 0 3 2 1 a 980.702545565 2.002e-04 7
0 1 0 0 0 0 4 1 4 s 980.774323641 2.005e-04 9
0 1 0 0 0 0 3 3 1 s 981.950539086 2.034e-04 7
0 1 0 0 0 0 3 3 0 s 982.615353118 2.002e-04 10
0 0 0 0 0 0 12 5 8 s 984.224254570 7.854e-04 15
0 0 0 0 0 0 12 5 8 a 984.468807524 1.399e-03 13
0 1 0 0 0 0 4 1 3 s 997.486740785 2.006e-04 11
0 0 0 0 0 0 11 8 4 s 997.705702770 1.308e-03 9
0 0 0 0 0 0 11 8 3 s 997.710189363 1.291e-03 8
0 0 0 0 0 0 11 8 4 a 997.923485386 7.308e-04 7
0 0 0 0 0 0 11 8 3 a 997.928038046 7.314e-04 12
0 1 0 0 0 0 4 1 4 a 1000.468920083 3.105e-04 7
0 1 0 0 0 0 3 3 1 a 1000.596070799 4.076e-04 9
0 1 0 0 0 0 3 3 0 a 1000.694071262 4.353e-04 7
0 0 0 0 0 0 12 5 7 s 1000.791651006 7.816e-04 17
0 0 0 0 0 0 12 5 7 a 1000.997044363 1.380e-03 11
0 1 0 0 0 0 4 0 4 a 1001.166936706 3.467e-04 6
0 1 0 0 0 0 4 2 3 s 1004.012549507 3.660e-04 8
0 1 0 0 0 0 4 2 2 s 1009.328256748 6.454e-04 8
0 0 0 0 0 0 10 10 0 s 1016.243899426 1.272e-03 2
0 0 0 0 0 0 10 10 1 a 1016.432315257 6.855e-04 5
0 1 0 0 0 0 4 1 3 a 1017.797134896 3.479e-04 9
0 0 0 0 0 0 14 0 14 s 1021.841102922 1.663e-03 4
0 0 0 0 0 0 14 1 14 s 1021.841742562 9.377e-04 4
0 1 0 0 0 0 4 2 3 a 1022.325975450 2.005e-04 10
0 0 0 0 0 0 14 1 14 a 1022.367227231 1.747e-03 1
0 0 0 0 0 0 14 0 14 a 1022.367861197 9.449e-04 4
0 0 0 0 0 0 13 2 11 s 1024.793739586 1.470e-03 11
