nu1 nu2 nu3a nu3b nu4a nu4b J Ka Kc a/s E uncertainty transitions
0 0 0 0 0 0 7 7 1 s 395.896511781 2.932e-04 31
0 0 0 0 0 0 7 7 1 a 396.021537087 2.506e-04 33
0 0 0 0 0 0 7 7 0 a 396.021761432 8.157e-05 31
0 0 0 0 0 0 9 1 8 s 399.225424956 1.035e-03 33
0 0 0 0 0 0 9 2 8 s 399.237353056 2.720e-04 40
0 0 0 0 0 0 9 1 8 a 399.385035838 1.060e-03 35
0 0 0 0 0 0 9 2 8 a 399.398034095 9.200e-04 31
0 0 0 0 0 0 8 5 4 s 406.477611675 3.456e-04 44
0 0 0 0 0 0 8 5 4 a 406.592336605 6.843e-05 39
0 0 0 0 0 0 8 5 3 s 408.026990518 6.828e-05 50
0 0 0 0 0 0 8 5 3 a 408.138399576 1.148e-03 42
0 0 0 0 0 0 9 2 7 s 433.951003870 1.179e-03 42
0 0 0 0 0 0 9 2 7 a 434.099492845 2.766e-04 39
0 0 0 0 0 0 9 3 7 s 434.263397682 3.554e-04 41
0 0 0 0 0 0 9 3 7 a 434.415442440 1.214e-03 35
0 0 0 0 0 0 10 0 10 s 435.628992396 3.009e-04 24
0 0 0 0 0 0 10 1 10 s 435.629521674 8.481e-04 27
0 0 0 0 0 0 8 6 3 s 435.757234232 3.597e-04 36
0 0 0 0 0 0 10 1 10 a 435.816961760 2.814e-04 26
0 0 0 0 0 0 10 0 10 a 435.817046761 1.114e-03 22
0 0 0 0 0 0 8 6 2 s 435.824280747 6.757e-05 45
0 0 0 0 0 0 8 6 3 a 435.916519583 6.755e-05 42
0 0 0 0 0 0 8 6 2 a 435.983626914 3.597e-04 35
0 0 0 0 0 0 9 3 6 s 460.885391031 3.866e-04 41
0 0 0 0 0 0 9 3 8 a 461.020483944 3.096e-04 1
0 0 0 0 0 0 9 3 6 a 461.020767905 7.559e-05 47
0 0 0 0 0 0 9 4 6 s 464.037475712 7.624e-05 43
0 0 0 0 0 0 9 4 6 a 464.166032693 3.735e-04 40
0 0 0 0 0 0 8 7 2 s 470.620995992 4.665e-04 31
0 0 0 0 0 0 8 7 1 s 470.623003336 2.109e-04 35
0 0 0 0 0 0 8 7 2 a 470.745390200 2.754e-04 34
0 0 0 0 0 0 8 7 1 a 470.745650510 1.945e-03 31
0 0 0 0 0 0 9 4 5 s 478.637977410 3.741e-04 34
0 0 0 0 0 0 9 4 5 a 478.768284821 7.642e-05 41
0 0 0 0 0 0 10 1 9 s 481.228610166 9.679e-05 31
0 0 0 0 0 0 10 2 9 s 481.233921046 2.102e-03 33
0 0 0 0 0 0 10 1 9 a 481.390900289 1.095e-03 29
0 0 0 0 0 0 10 2 9 a 481.393761195 4.037e-04 36
0 0 0 0 0 0 9 5 5 s 491.278122213 7.578e-05 45
0 0 0 0 0 0 9 5 5 a 491.391768107 3.872e-04 42
0 0 0 0 0 0 9 5 4 s 495.493487114 3.871e-04 38
0 0 0 0 0 0 9 5 4 a 495.610312582 7.574e-05 47
0 0 0 0 0 0 8 8 1 s 511.115643985 5.889e-04 27
0 0 0 0 0 0 8 8 0 s 511.115935042 4.695e-04 24
0 0 0 0 0 0 8 8 0 a 511.228516778 6.310e-04 23
0 0 0 0 0 0 8 8 1 a 511.228970886 3.897e-04 26
0 0 0 0 0 0 11 1 11 s 520.180340705 3.424e-04 24
0 0 0 0 0 0 11 0 11 s 520.181063372 1.235e-03 21
0 0 0 0 0 0 11 0 11 a 520.373281729 4.114e-04 21
0 0 0 0 0 0 11 1 11 a 520.374102260 1.409e-03 23
0 0 0 0 0 0 9 6 4 s 520.554509791 7.643e-05 39
0 0 0 0 0 0 9 6 4 a 520.648965088 3.741e-04 39
0 0 0 0 0 0 10 2 8 s 520.967715687 8.369e-05 41
0 0 0 0 0 0 9 6 3 s 521.051910588 3.741e-04 37
0 0 0 0 0 0 10 3 8 s 521.073975228 1.009e-03 32
0 0 0 0 0 0 10 2 8 a 521.109460800 4.791e-04 32
0 0 0 0 0 0 9 6 3 a 521.147078505 7.640e-05 39
0 0 0 0 0 0 10 3 8 a 521.214106971 3.544e-04 31
0 0 0 0 0 0 10 3 7 s 553.775495281 2.951e-04 41
0 0 0 0 0 0 10 3 7 a 553.906329403 1.078e-03 36
0 0 0 0 0 0 9 7 3 s 554.947107974 1.663e-04 38
0 0 0 0 0 0 9 7 2 s 554.963286843 4.067e-04 37
0 0 0 0 0 0 9 7 3 a 555.071153032 4.185e-04 33
0 0 0 0 0 0 9 7 2 a 555.088209960 7.474e-04 35
0 0 0 0 0 0 10 4 7 s 555.186343600 7.141e-04 38
0 0 0 0 0 0 10 4 7 a 555.312175543 2.937e-04 32
0 0 0 0 0 0 11 1 10 s 570.641882989 1.097e-03 28
0 0 0 0 0 0 11 2 10 s 570.642291583 2.818e-04 27
0 0 0 0 0 0 11 1 10 a 570.804171076 1.356e-04 28
0 0 0 0 0 0 11 2 10 a 570.805160011 1.130e-03 26
0 0 0 0 0 0 10 4 6 S 576.921405491 4.253e-04 1
